	fact	title
185	"Dick Van Dyke said of Donald Trump, ""There are millions of people who share his anger, paranoia, and his hatred ... I think we have to stop a man who wants to be the dictator."""	Did Dick Van Dyke Say ‘We Have to Stop a Man Who Wants to Be the Dictator’?
186	Did Abraham Lincoln proclaim that 'America will never be destroyed from the outside'?	Did Abraham Lincoln Say ‘America Will Never Be Destroyed From the Outside’?
187	"Dolly Parton wrote ""Jolene"" and ""I Will Always Love You"" in one day."	Did Dolly Parton Write ‘Jolene’ and ‘I Will Always Love You’ in One Day?
188	Donald Trump and hundreds of his workers helped search the rubble for survivors after the September 11 terrorist attacks in Lower Manhattan.	Was Donald Trump at Ground Zero Searching for Survivors Two Days After 9/11 with Workers He Paid For?
189	"Donald Trump called undocumented immigrants ""animals,"" just as Adolf Hitler called Jewish people ""animals."""	Did Trump Echo Hitler by Calling Undocumented Immigrants ‘Animals’?
190	"Donald Trump criticized President Barack Obama during the 2013 government shutdown for failing to ""lead,"" ""get everyone in a room,"" and ""make a deal."""	Did Trump Criticize Obama for a Lack of Leadership During the 2013 Government Shutdown?
191	Donald Trump declared in 2012 that people should stop congratulating President Obama for the killing of Osama bin Laden.	Did Trump Say to ‘Stop Congratulating Obama for Killing Bin Laden’?
192	Donald Trump intervened to stop a bat-wielding mugger in New York City in 1991.	Did Donald Trump Stop a Mugging in 1991?
193	Donald Trump leveled the same criticisms against President Barack Obama over Syrian strikes that were later used against him.	Did Donald Trump Tweet Warnings About Obama Ordering Syrian Airstrikes?
194	Donald Trump once evicted a disabled combat veteran for owning a small therapy dog.	Did Trump Once Evict a Disabled Vet for Owning a Therapy Dog?
195	"Donald Trump once wrote that ""only the Obama White House can get away with attacking Bob Woodward."""	Did Trump Once Criticize the Obama White House for ‘Attacking’ Bob Woodward?
196	Donald Trump predicted that Osama bin Laden would attack the U.S. in his 2000 book, 'The America We Deserve.'	Did Donald Trump Predict Osama bin Laden Would Attack the US?
197	Donald Trump's son Barron became a U.S. citizen thanks to birthright citizenship.	Did Barron Trump Benefit from Birthright Citizenship?
198	"Donald Trump, Jr. referred to teachers as ""losers"" at a campaign event."	Did Donald Trump, Jr. Call Teachers ‘Losers’ at His Father’s Rally in Texas?
199	"Drew Carey appeared on Fox News wearing a MAGA hat and an ""Off The Wall"" suit."	Did Actor Drew Carey Appear on TV in a MAGA Hat?
200	ESPN aired a graphic listing porn star Johnny Sins as a Little League baseball player's favorite actor.	Did a Little Leaguer List a Porn Star as His Favorite Actor?
201	Eating alligator in New Orleans will help save the wetlands of Louisiana.	Will Eating Alligator Meat Help Save the Louisiana Wetlands?
202	Economist Paul Krugman wrote that by 2005, it would become clear that the Internet's effect on the economy is no greater than the fax machine's.	Did Paul Krugman Say the Internet’s Effect on the World Economy Would Be ‘No Greater Than the Fax Machine’s’?
203	Eighteen undocumented immigrant children died in the custody of U.S. Border Patrol during the Obama administration.	Did 18 Migrant Children Die in Border Patrol Custody During the Obama Administration?
204	El Paso County Sheriff Richard Wiles wrote a viral piece of text about the August 2019 mass shooting in El Paso, Texas.	Was a Statement About El Paso Mass Shooting Written by Sheriff?
205	El Paso was one of the U.S. most dangerous cities before a border fence was built there.	Was El Paso One of the ‘Most Dangerous Cities’ in U.S. Before a Border Fence Was Built?
206	"Elizabeth Warren trivialized the killing of Mollie Tibbetts (the suspect is an undocumented immigrant) by saying, ""We need to focus on real problems"" like immigrant family separation."	Did Elizabeth Warren Say of Mollie Tibbetts’ Slaying, ‘We Need to Focus on Real Problems’?
207	Emma González, a survivor of the Parkland school shooting, was filmed ripping up a copy of the U.S. Constitution.	Was Emma González Filmed Ripping Up the U.S. Constitution?
208	"Facebook vice president Jeff Rothschild said ""In order to finalize the New World Order process we need a 3rd world war to exterminate 90% of the world's population."""	Did Facebook Executive Jeff Rothschild Say ‘We Need a Third World War’?
209	Fifteen homeless people in Chicago were found dead on the street because of record-low temperatures that hit the city in late January 2019.	Were 15 Homeless People Found Frozen to Death in Chicago?
210	Finnish President Sauli Niinistö posted a video after his White House visit saying that he'd rather hang around reindeer than Donald Trump.	Did the President of Finland Post a Video Response to His White House Visit?
211	"First Lady Melania Trump wore a jacket with ""I DON'T REALLY CARE DO U?"" emblazoned on the back on her way to visit immigrant kids."	Did Melania Trump Wear This Jacket on Her Way to Visit Children Separated from Their Families?
212	Following the French Revolution, the French planted a forest of oak trees at Versailles to be used should repairs to Notre Dame ever be needed again.	Were Oak Trees Planted at Versailles for the Purpose of Repairing Notre Dame?
213	"Ford USA announced in September 2018 that Colin Kaepernick would star in their new ""Built Ford Tough"" advertisements."	Did Ford Make Colin Kaepernick the Face of Their New Ad Campaign?
214	"Former FBI agent Peter Strzok issued a tweet calling President Trump a ""dictator,"" a ""Russian asset,"" and an ""unhinged madman."""	Did Fired FBI Agent Peter Strzok Tweet That President Trump is a ‘Dictator,’ a ‘Russian Asset,’ and an ‘Unhinged Madman?’
215	"Former First Lady Michelle Obama orchestrated the cancellation of ""Roseanne"" and firing of its titular star, Roseanne Barr."	Did Michelle Obama Tell ABC to Fire Roseanne Barr?
216	"Former President Barack Obama tweeted: ""Ask Ukraine if they found my birth certificate."""	Did Barack Obama Tweet, ‘Ask Ukraine If They Found My Birth Certificate’?
217	Former Republican congressman Trey Gowdy has joined President Trump's legal team.	Did Trey Gowdy Join President Trump’s Legal Team?
218	Former Roanoke City Department of Social Services worker Storm Durham was fired from her job because she possessed a concealed carry permit.	Was a Roanoke City Department of Social Services Worker Fired Over a Gun Permit?
219	Former U.S. President Barack Obama endorsed the grandson of a terrorist for federal office.	Did Barack Obama Endorse the Grandson of a Terrorist for U.S. Congress?
220	"Former U.S. Secretary of State Hillary Clinton asked for ""huge"" donations to the Clinton Foundation to help with Hurricane Dorian relief in September 2019."	Did Hillary Clinton Ask for ‘Huge’ Donations to the Clinton Foundation for Hurricane Dorian Victims?
221	"Former U.S. Vice President Joe Biden once said he had ""no empathy"" for the plight of younger people."	Did U.S. Presidential Candidate Joe Biden Say He Had ‘No Empathy’ for the Plight of Younger People?
222	Former U.S. Vice President Joe Biden owns the largest mansion in his state.	Does Joe Biden Own the Largest Mansion in His State?
223	Former president George H.W. Bush has passed away at age 94.	Former President George H.W. Bush Has Died
224	Former president Jimmy Carter has announced that the cancer in his liver has spread to other parts of his body.	Did Jimmy Carter Announce That His Cancer Is Spreading?
225	Fourteen-year-old, terminally ill cancer patient Maddox Hyde asked that people send him Christmas cards for the holiday.	Terminally Ill Teen Requests Christmas Cards for the Holiday
226	"Fox News Channel was banned in Australia and New Zealand after being deemed ""propaganda."""	Was Fox News Banned as ‘Propaganda’ in Australia and New Zealand?
227	Fox News was removed from 'Armed Forces Radio' due to the network's coverage of Lt. Col. Alexander Vindman's testimony in the impeachment inquiry into U.S. President Donald Trump.	Was Fox News Removed From ‘Armed Forces Radio’ Over Vindman Segment?
228	Gatorade bottles were designed with a built-in cap holder in the bottom.	Were Gatorade Bottles Designed with a Cap Holder on the Bottom?
229	"George Soros said ""I've made my life's mission to destroy the United States. I hate this country and I hate all of the people in it."""	Did George Soros Say His Life’s Mission Is to Destroy the United States?
230	"Georgia Gov. Clifford Walker said at a 1924 Ku Klux Klan meeting that  he'd ""build a wall of steel"" against immigrants."	Did Clifford Walker Say at a 1924 KKK Rally That He Would Build a ‘Wall of Steel’ Against Immigrants?
231	Georgia's House Bill 481 would, when implemented, leave women open to prosecution for criminal abortion, murder, or second-degree murder for having abortions or miscarriages.	Did Georgia Pass a Law Imposing Severe Criminal Penalties for Abortions and Miscarriages?
232	Google failed to promote President Trump's State of the Union address on their homepage despite having done so for the previous administration.	Did Google Fail to Promote President Trump’s State of the Union Address?
233	"Google has defined the word ""parasite"" as a ""capitalist."""	Does Google Define ‘Parasite’ as a ‘Capitalist’?
234	H.B. 1369, a North Dakota voter ID law, includes restrictions that disproportionately affect Native American voters.	Has North Dakota Law Made It Harder for Native Americans to Vote?
235	"Harley-Davidson's chief executive officer Matthew Levatich called President Trump ""a moron."""	Did Harley Davidson’s CEO Call President Trump ‘a Moron’?
236	Heather Holland, a 38-year-old grade school teacher in Willow Park, Texas, died because she couldn't afford the co-pay for her flu medication.	Did a Texas Teacher Named Heather Holland Die Because She Couldn’t Afford Flu Medicine?
237	Hillary Clinton used a hammer to smash her mobile phone during an FBI investigation.	Did Hillary Clinton Smash Her Phone with a Hammer?
238	"Hillary Clinton's daughter Chelsea ""admitted"" in a tweet that the Pizzagate conspiracy is ""real."""	Did Chelsea Clinton Tweet That ‘Pizzagate Is Real’?
239	House Bill 896, considered by the Texas House of Representatives in 2019, would have the effect of making abortion punishable by death.	Are Texas Legislators ‘Considering the Death Penalty for Women Who Have Abortions’?
240	Hundreds attended a church ceremony blessing AR-15s.	Did Hundreds of Worshipers Attend an AR-15 Blessing Ceremony at a Church?
241	If the President of the United States were impeached for treason, the Vice President and all other officers would automatically be removed from office as well.	If the President Is Impeached for Treason, Is Everyone Else Removed from Office as Well?
242	If voters are turned away from polls on election day, they can ask for a provisional ballot.	Can Voters Ask for Provisional Ballots If They Are Turned Away at Polls?
243	Ilhan Omar married her brother to help him immigrate to the U.S.	Did U.S. Rep. Ilhan Omar Marry Her Brother?
244	Image depicts a military spouses gathering at the White House, and no people of color were included.	Does This Photograph Show Only White Military Spouses at the White House?
245	"Images shared widely in September 2019 showed people easily climbing the same fence, or same type of fence, that U.S. President Donald Trump said ""can't be climbed."""	Did Viral Images Show People Climbing a Border Fence That Trump Said ‘Can’t Be Climbed’?
246	Immigrant children separated from their parents and held in detention centers around the country are required in some cases to recite the Pledge of Allegiance daily.	Are Detained Immigrant Children Required to Recite the Pledge of Allegiance?
247	"Immigrants ""invaded"" a beach, leaving beachgoers ""shocked."""	Did Migrants ‘Invade’ a Beach in Broad Daylight?
248	Immigration authorities are taking rosaries away from immigrants at the border.	Are Rosaries Being Taken from Immigrants at the U.S.-Mexico Border?
249	Immigration authorities were checking citizenship papers of people affected by the mass shooting in El Paso.	Did ICE Check Citizenship Papers After the El Paso Shooting?
250	"In 1943 the Supreme Court ruled that no one can be forced to participate in patriotic rituals such as the Pledge of Allegiance and the national anthem, so calling for NFL players to be fired for ""taking a knee"" in protest amounts to calling for the law to be broken."	Did the Supreme Court Rule in 1943 That No One Can Be Forced to Participate in Patriotic Rituals?
251	In 1998, Senator Chuck Schumer was caught taking $1 million in excessive campaign contributions and failing to properly disclose $4.6 million in expenses, for which he was fined $138,000.	Was Senator Chuck Schumer Caught Taking $1 Million in ‘Excessive Contributions’?
252	"In 1999, Wayne LaPierre of the NRA said there should be no guns in American schools ""period."""	Did Wayne LaPierre Say There Should Be ‘No Guns in Schools, Period’?
253	"In 2005, Senator Barack Obama expressed his opposition to ""undetected, undocumented, unchecked"" immigration."	Did Barack Obama Express Opposition to ‘Undetected, Undocumented, Unchecked’ Immigration?
254	"In 2014, Mexican authorities arrested and tortured a U.S. Marine for ""accidentally crossing the border,"" tying him to a bed for nine months in the process."	Did Mexican Authorities Arrest and Torture a U.S. Marine for Accidentally Crossing the Border?
255	In 2019, Brunei confirmed their intention to introduce new laws that included a penalty of death by stoning for gay sex.	Did Brunei Announce a Law to Punish ‘Gay Sex’ with Death By Stoning?
256	In 2019, the presidential campaign of Michael Bloomberg worked with a vendor that used prison labor on the campaign's behalf.	Did Michael Bloomberg’s Presidential Campaign Use Prison Labor?
257	"In 2019, trans activists or ""the transgender lobby"" forced Procter & Gamble to remove the Venus symbol from menstruation products."	Did Trans Activists ‘Force’ Procter & Gamble to Remove Female Symbol from Some Period Products?
258	In 35 states, it's legal for police officers to have sex with unconsenting detainees.	Can Police Legally Rape People in 35 States?
259	In August 2019, workers at the Shell plant in Beaver County, Pennsylvania, were told to either attend a speech by U.S. President Donald Trump or lose pay.	Were Shell Workers in Pennsylvania Told to Attend a Trump Rally or Lose Pay?
260	"In December 2018, Trump 2020 campaign advisor Katrina Pierson demanded that Sen. John McCain ""answer questions"" -- four months after his death."	Did a Trump Campaign Advisor Demand Sen. John McCain ‘Answer Questions’ — Four Months After His Death?
261	In January 2019, President Donald Trump ordered FEMA to stop or cancel funding for its disaster assistance efforts in California.	Did Trump Order FEMA to ‘Send No More Money’ for California Wildfire Aid?
262	In January 2019, President Donald Trump ran a television commercial that urged supporters of his proposed border wall to call an 800 number and take part in a survey.	Did President Donald Trump Run TV Ads Asking Border Wall Supporters to Call an 800 Number?
263	In January 2019, a planned congressional delegation to visit Belgium, Egypt and Afghanistan included 93 family relatives of Congress members.	Did a Planned Congressional Delegation to Afghanistan Include 93 Family Members?
264	In January 2020, Boko Haram executed pastor Lawan Andimi as a result, at least in part, of his refusal to renounce his Christian faith.	Did Boko Haram Behead a Nigerian Pastor After He ‘Refused to Deny Christ’?
265	In January 2020, U.S. Rep. Ilhan Omar advised Iran to attack Trump-branded hotels in the world, thus committing treason.	No, U.S. Rep. Ilhan Omar Didn’t Give ‘Treasonous’ Military Advice to Iran
266	In July 2018, former Congresswoman Elizabeth Holtzman wrote a strongly-worded letter of resignation from the Homeland Security Advisory Council which went viral on social media.	Did Elizabeth Holtzman Send DHS Secretary Kirstjen Nielsen a Strongly-Worded Resignation?
267	In July 2019, U.S. Rep. Elijah Cummings was in Venice, Italy, with other Democratic lawmakers.	Did U.S. Rep. Elijah Cummings Dine Lavishly in Italy With House Democrats?
268	"In June 2018, Ivanka Trump adopted the alias ""Adrienne Vittadini"" to market her fashion line to unwitting buyers."	Has Ivanka Trump’s Line Been Rebranded as ‘Adrienne Vittadini’?
269	In June 2018, members of the United Methodist Church brought church charges, including child abuse, against Attorney General Jeff Sessions.	Did Methodists Bring Church Charges Against Jeff Sessions?
270	In June 2018, the House of Representatives passed a bill that would deny all veterans access to food stamps.	Did Congress Vote to Take Away Food Stamps from 1.5 Million Veterans?
271	In June 2018, the actor Peter Fonda suggested in a tweet that Barron Trump should be kidnapped, as a protest against the president's immigration policy.	Did Peter Fonda Suggest That Barron Trump Should Be Kidnapped?
272	In March 2019, Germany requested the removal of Richard Grenell as U.S. Ambassador to Germany.	Did Germany Request the Removal of U.S. Ambassador Richard Grenell?
273	In March 2019, U.S. Education Secretary Betsy DeVos proposed eliminating a near-$18 million grant for Special Olympics programs.	Did U.S. Education Secretary Betsy DeVos Announce Plans to Cut $18 Million in Funding for the Special Olympics?
274	In May 2018 President Trump donated one-fourth of his $400,000-per-year salary to the Department of Veterans Affairs.	Did President Trump Donate His First-Quarter 2018 Salary to the Department of Veterans Affairs?
275	"In May 2018, Pope Francis said people who own guns were ""hypocrites"" and could no longer call themselves Christians."	Did Pope Francis Say Gun Owners ‘Can’t Call Themselves Christians Anymore’?
276	"In November 2012, Donald Trump proclaimed on Twitter that ""If the Dow drops 1,000 points in two days the President should be impeached immediately!"""	Did Donald Trump Say the Sitting President Should Be Impeached If the Dow Jones Loses 1,000 Points in Two Days?
277	In November 2018, Democratic U.S. Representative Eric Swalwell suggested launching nuclear weapons against gun-owners who refused to hand over or sell semi-automatic rifles to the U.S. government.	Did Democrat Rep. Eric Swalwell ‘Suggest Nuking’ Gun Owners Who Resist Confiscation?
278	In October 2019, Barnes & Noble sold or marketed a satire of Donald Trump's presidency as a children's book, or placed it in the children's section of stores.	Did Barnes and Noble Market a Parody of Trump’s Presidency as a Children’s Book?
279	In October 2019, U.S. President Donald Trump called Italy's president 'Mozzarella' and claimed the U.S. and Italy had been allies for thousands of years.	Did Donald Trump Call Italy’s President ‘Mozzarella’?
280	In September 2019, U.S. House Democrats voted for a bill that would create an electronic health record system for immigrants on the southern border which does not yet exist for military veterans.	Did Democrats Vote to Give Immigrants Better Health-Record System Than Vets?
281	"In a C-SPAN video, U.S. House Minority Leader Nancy Pelosi revealed that Democrats use a political smear tactic she called the ""wrap-up smear."""	Did Nancy Pelosi Admit Democrats Use a Tactic Called the ‘Wrap-Up Smear?’
282	"In a leaked e-mail, Hillary Clinton said ""we must destroy Syria for Israel."""	Did Hillary Clinton Say ‘We Must Destroy Syria for Israel’ in a Leaked E-Mail?
283	In a speech in October 2019, U.S. President Donald Trump claimed his administration was building part of the border wall in Colorado.	Did Donald Trump Say ‘We’re Building a Wall in Colorado’?
284	In a speech to U.S. military personnel, President Trump said if soldiers were real patriots, they wouldn't take a pay raise.	Did President Trump Say If Soldiers Were ‘Real Patriots,’ They Wouldn’t Take a Pay Raise?
285	"In a tweet tagged ""@realDonaldTrump,"" actor Morgan Freeman wrote that ""Our President is a bonafide sack of shit."""	Did Actor Morgan Freeman Call President Trump a ‘Bonafide Sack of Sh*t?’
286	In early January 2019, all speed cameras on the M1 and M25 motorways in England were simultaneously activated, with a uniform speed limit of 72 miles per hour.	Were All Speed Limit Cameras on Two Major English Roads Set to 72 MPH in January 2019?
287	In mid-2018, Domino's Pizza began giving cities and towns grants for street repairs.	Is Domino’s Pizza Paving Roads?
288	"In talking to journalists, U.S. President Donald Trump used some notes to himself written in Sharpie pen that said, in part, ""I want nothing."""	Did Trump Use Notes To Self in Sharpie Pen That Said ‘I Want Nothing’?
289	"In the 17th century, New Amsterdam built a protective wall along its northern perimeter (analogous to Trump's border wall) to keep ""bad hombres"" out, but it failed to achieve its stated purpose in that the British successfully invaded the city by sea."	Was Wall Street Originally the Site of a ‘Border Wall’ Meant to Protect New Amsterdam?
290	"In the late 1800s and early 1900s, Louis Vuitton sponsored ""human zoos"" in which black people were put on display like exotic circus animals."	Did Louis Vuitton Sponsor ‘Human Zoos’ in the 1800s and Early 1900s?
291	In the mid-1990s, a film studio executive proposed casting Julia Roberts as the abolitionist former slave Harriet Tubman.	Did a Studio Exec Once Propose Casting Julia Roberts as Harriet Tubman?
292	In the spring of 2019, the White House asked U.S. naval and Air Force officials to ensure the USS John S. McCain, or its name, was not visible during U.S. President Donald Trump's 27 May speech in Japan.	Did the White House Ask the Navy to Keep the USS John S. McCain ‘Out of Sight’ for Trump’s Visit?
293	In the summer of 2018, President Donald Trump donated his entire $400,000 annual salary to the Department of the Interior for the purpose of rebuilding military cemeteries.	Did President Donald Trump Donate His Entire $400,000 Salary to Rebuild Military Cemeteries?
294	Iran has offered an $80M bounty for the head of U.S. President Donald Trump.	Did Iran Offer an $80M Bounty for Trump’s Head?
295	Islamic State leader Abu Bakr al-Baghdadi was released from a United States prison during the Obama administration.	Was IS Leader al-Baghdadi Released from US Prison in Obama Era?
296	Israel fired a tactical nuclear weapon at an Iranian base in Syria in late April 2018.	Did Israel Drop a Tactical Nuclear Bomb on Syria?
297	JUULing, or use of a JUUL e-cigarette, has caused cancer in four students.	Has ‘JUULing’ Caused Cancer in High School and College Students?
298	"Jackson Kernion, a graduate instructor in philosophy at UC Berkeley, wrote on Twitter that rural Americans are ""bad people who have made bad life decisions."""	Did a UC Berkeley Instructor Say Rural Americans Are ‘Bad People’?
299	Jacob Walter Anderson repeatedly raped a young woman but received only a $400 fine and deferred probation as punishment.	Was Jacob Walter Anderson Fined $400 for Repeatedly Raping a Baylor Student?
300	Jeffrey Epstein once owned or displayed in his home a painting that depicted former President Bill Clinton wearing a blue dress.	Did Jeffrey Epstein Have a Painting of Bill Clinton Wearing a Dress in His Flat?
301	"Jim Mattis once criticized ""pantyhose-wearing"" politicians for imposing restrictions on gun use."	Did Former Defense Secretary Jim Mattis Criticize ‘Pantyhose-Wearing’ Politicians for Gun Restrictions?
302	"Joe Biden talked about what he described as his ""hairy legs"" during a public speech in Wilmington, Delaware."	Did Joe Biden Mention His ‘Hairy Legs’ In Public Remarks?
303	Journalist Bre Payton's untimely death was connected to her reporting on the Mueller probe.	Was Journalist Bre Payton’s Death ‘Beyond Strange’ Due to Her Reporting on the Mueller Probe?
304	"Joy Behar of ""The View"" sent a crass tweet about a fatal fire in Trump Tower."	Did Joy Behar Publish a Crude Tweet About a Fire at Trump Tower?
305	"Judge Brett Kavanaugh once ruled that a teenage immigrant who had been raped must take time to ""think maturely"" before undergoing an abortion."	Did Brett Kavanaugh Rule That a Raped Immigrant Teen Must Delay Her Abortion in Order to ‘Think About it Maturely’?
306	Kanye West and Kim Kardashian announced that they were divorcing in October 2018.	Are Kim Kardashian and Kanye West Divorcing?
307	"Kavanaugh accuser Deborah Ramirez has ""ties"" to billionaire philanthropist George Soros."	Does Kavanaugh Accuser Deborah Ramirez Have ‘Ties to George Soros’?
308	Kavanaugh accuser Julie Swetnick has a restraining order against her from an ex-boyfriend.	Does Kavanaugh Accuser Julie Swetnick Have a Restraining Order Against Her by a Former Boyfriend?
309	Kehinde Wiley, the artist who painted former President Barack Obama's official portrait, also produced a pair of paintings depicting black women decapitating white people.	Did Obama’s Portraitist Paint an Image of a Black Woman Holding the Severed Head of a White Person?
310	Kellogg's Corn Flakes were originally created in an effort to discourage American consumers from masturbating.	Were Kellogg’s Corn Flakes Created as an ‘Anti-Masturbatory Morning Meal’?
311	"Koalas are ""functionally extinct"" due to Australian bushfires."	Are Koalas ‘Functionally Extinct’ Due to Bushfires in Australia?
312	Law enforcement officials alerted the public to check the tops of commercially sold bottles of water for tampering because someone is injecting poison into them.	Have Officials Warned That Someone Is Injecting Poison into Plastic Water Bottles?
313	"Lawyers for Pharrell Williams sent Donald Trump a ""cease and desist"" letter after the president played the song ""Happy"" before a speech on 27 October."	Did Pharrell Williams Send President Trump a ‘Cease and Desist’ Letter for Using His Song ‘Happy’?
314	Liberals at the University of Texas called for masculinity to be designated a mental illness	Do ‘Liberals’ at the University of Texas Want to Designate Masculinity a Mental Illness?
315	Lindsey Graham once said President Richard Nixon made himself subject to impeachment the day he failed to answer a congressional subpoena.	Did Lindsey Graham Really Say This in 1998 About Presidential Impeachment?
316	Luis Gutiérrez left Donald Trump's 2018 State of the Union speech in anger or disgust at patriotic chanting.	Did a Democratic Congressman ‘Storm Out’ of Trump’s State of the Union?
317	"Major General Paul Eaton said President Trump's decertification of an existing nuclear deal with Iran deal ""dishonors America."""	Did Major General Paul D. Eaton Say Trump’s Decertifying Iran Deal ‘Dishonors America’?
318	Major retailers have begun keeping Tide brand laundry detergent PODS under lock and key to prevent people from eating them.	Are Stores Locking Up Tide PODS So People Won’t Eat Them?
319	Marjory Stoneman Douglas High School shooting survivor David Hogg went to high school in California, not Florida, and is an actor.	Did David Hogg Attend a California High School?
320	"Mark Chambers, mayor of Carbon Hill, Ala., wrote on Facebook that members of the LGBTQ community and other groups should be ""killed out."""	Did Alabama Mayor Mark Chambers Call for Killing LGBTQ People?
321	"Mark Twain said, ""Do not fear the enemy, for your enemy can only take your life. It is far better that you fear the media, for they will steal your HONOR."""	Did Mark Twain Say ‘Fear the Media, for They Will Steal Your Honor’?
322	Mark Zuckerberg admitted or bragged that Facebook banned pro-life advertising, in particular, during Ireland's 2018 abortion-referendum campaign.	Did Mark Zuckerberg ‘Brag’ About Banning Pro-Life Ads Before Ireland’s Abortion Referendum?
323	Martha Stewart said she'd refuse to accept a pardon from President Donald Trump.	Did Martha Stewart Say She’d Refuse to Accept a Pardon from President Trump?
324	Martial arts star Jet Li is in frail health, as shown in a recent photograph.	Is Action Star Jet Li in ‘Frail’ Health?
325	McDonald's restaurants are turning their iconic gold arches upside down to celebrate International Women's Day.	Are McDonald’s Restaurants Flipping Their Iconic Golden Arches Upside Down for Women’s Day?
326	"Melania Trump made a sly reference to the Mussolini-era slogan ""me ne frego"" with her ""I DON'T REALLY CARE DO U?"" jacket."	Did Melania Trump’s Controversial Jacket Contain a Pro-Fascism Message?
327	Members of the Trump family were banned from running charities in New York because they reportedly stole from a children's cancer charity.	Did New York Reprimand Trump Family for ‘Stealing from a Children’s Cancer Charity’?
328	Milkshakes containing cement were thrown during protests in Portland in late June 2019.	Did Milkshakes Thrown in Portland Protests Contain Cement?
329	"Monica Lewinsky offered to ""take one for (the) team"" and perform oral sex in order to get President Donald Trump impeached."	Did Monica Lewinsky Offer to ‘Take One For (the) Team’ to Get Trump Impeached?
330	More people watched President Trump's 2019 State of the Union address on television than watched Super Bowl Super Bowl LIII.	Was the 2019 State of the Union Address Watched by More People Than the Super Bowl?
331	More than 100 whales are trapped in an underwater 'jail.'	Are Over 100 Whales Trapped in Underwater ‘Jails’?
332	"Nancy Pelosi and Chuck Schumer helped Barack Obama give an ""enemy of the U.S."" $150 billion in cash."	Did Schumer and Pelosi Help Obama Hand $150 Billion to an ‘Enemy of the US’?
333	"Nancy Pelosi said ""the plastic straw ban is important for gun control. It stops pea shooting and spitballing which are gateway guns."""	Did Nancy Pelosi Say the ‘Plastic Straw Ban Is Important for Gun Control?’
334	National Security Advisor Robert C. O'Brien said that Lt. Col. Alexander Vindman was being removed from the NSC.	Was Lt. Col. Vindman ‘Fired’ from the National Security Council?
335	Netflix announced that 'Friends' would no longer be available for customers to stream after the end of 2018.	Did Netflix Announce They Will Be Removing ‘Friends’ from Their Streaming Catalog?
336	New Yorkers can select a gender-neutral option on their birth certificates.	Does New York City Allow Residents to Have ‘Gender-Neutral’ Birth Certificates?
337	New Zealand Prime Minister Jacinda Ardern wore a hijab and offered financial assistance in support of Christchurch shooting victims.	Did New Zealand Prime Minister Jacinda Ardern Don a Hijab and Offer Aid to Families of Massacre Victims?
338	News media claims of bombs sent by mail to the Clintons and Obamas were false because USPS doesn't deliver mail to persons under Secret Service protection.	Does USPS Never Deliver Mail Directly to People Under Secret Service Protection?
339	News media outlets misrepresented a photograph of a two-year-old migrant girl whose mother was arrested at the U.S-Mexico border as depicting an instance of family separation.	Did News Media Incorrectly Report That Border Agents Separated a Girl from Her Mother?
340	"Nike said that they're a ""$76 billion dollar company that can afford to let go of all ‘Make America Great Again’ customers."""	Did Nike Say They Can Afford to “Let Go of All ‘Make America Great Again’ Customers”?
341	Nike workers in Vietnam earn 20 cents per hour, work 70 to 80 hours per week, and are 80 percent female.	Do Nike Factory Workers in Vietnam Earn 20 Cents Per Hour?
342	North Carolina admitted that a voter ID law was at least partly enacted in response to African-American voting tendencies that went against conservative interests.	Did North Carolina Admit to Targeting Black Voters with a ‘Voter ID’ Law?
343	Not a single Democrat was present during a U.S. Senate hearing on border security in April 2019.	Were Democrats Absent from a U.S. Senate Hearing on Border Security?
344	"Olive Garden restaurants are ""funding Trump's re-election in 2020."""	Is Olive Garden Funding Trump’s Re-Election?
345	On 30 September 2018, the administration of President Donald Trump allowed the Violence Against Women Act to expire.	Did President Donald Trump Allow the Violence Against Women Act to Expire?
346	"On Aug. 21, 2019, U.S. President Donald Trump articulated a belief that he is ""the chosen one,"" the ""King of Israel,"" or the ""second coming of God."""	Did Donald Trump Call Himself the ‘Second Coming of God,’ the ‘Chosen One’ or the ‘King of Israel’?
347	On multiple occasions Donald Trump tweeted predictions that President Obama would order an attack on Iran.	Did Trump Tweet Multiple Predictions That Obama Would Attack Iran?
348	One of Vice President Mike Pence's older brothers, Ed Pence, is an executive at Cummins Inc., a company that manufactures engines for the Russian military and has also used lobbying firms connected with Paul Manafort, indicating that Mike Pence may have compromising ties to Russia.	Does Mike Pence’s Brother Make Engines for the Russian Military?
349	One or more U.S. presidents (or members of their families) kept live alligators either in the White House or on its grounds.	Were Alligators Ever Kept as White House Pets?
350	"Organizers working for billionaire George Soros ran Craigslist ads offering $300 each to individuals participating in the 24 March 2018 ""March for Our Lives"" protests."	Did George Soros Pay ‘March for Our Lives’ Protesters $300 Each?
351	Pardoned felons are allowed to vote.	Can Pardoned Felons Vote?
352	Pastor David Platt prayed for President Donald Trump during the latter's impromptu visit to his church.	Did Pastor David Platt Pray for President Trump During a Church Visit?
353	"Patrick Moore, who once described anthropogenic climate change as “fake science” on the morning opinion program ""Fox and Friends,"" co-founded the environmental action group Greenpeace."	Did Patrick Moore, a Doubter of Anthropogenic Climate Change, Co-Found Greenpeace?
354	"Paul McCartney wrote the song ""Blackbird"" during a visit to the U.S., inspired by the civil rights movement."	Was Paul McCartney’s Song “Blackbird” Inspired by the Civil Rights Movement?
