	vclaim	title
514	On 30 September 2018, the administration of President Donald Trump allowed the Violence Against Women Act to expire.	Did President Donald Trump Allow the Violence Against Women Act to Expire?
515	"On Aug. 21, 2019, U.S. President Donald Trump articulated a belief that he is ""the chosen one,"" the ""King of Israel,"" or the ""second coming of God."""	Did Donald Trump Call Himself the ‘Second Coming of God,’ the ‘Chosen One’ or the ‘King of Israel’?
516	On multiple occasions Donald Trump tweeted predictions that President Obama would order an attack on Iran.	Did Trump Tweet Multiple Predictions That Obama Would Attack Iran?
517	One of Vice President Mike Pence's older brothers, Ed Pence, is an executive at Cummins Inc., a company that manufactures engines for the Russian military and has also used lobbying firms connected with Paul Manafort, indicating that Mike Pence may have compromising ties to Russia.	Does Mike Pence’s Brother Make Engines for the Russian Military?
518	One or more U.S. presidents (or members of their families) kept live alligators either in the White House or on its grounds.	Were Alligators Ever Kept as White House Pets?
519	Oprah Winfrey said that in order for the problem of racism to be solved, old white people have to die.	Did Oprah Winfrey Say ‘Old White People Have to Die’?
520	"Organizers working for billionaire George Soros ran Craigslist ads offering $300 each to individuals participating in the 24 March 2018 ""March for Our Lives"" protests."	Did George Soros Pay ‘March for Our Lives’ Protesters $300 Each?
521	Pardoned felons are allowed to vote.	Can Pardoned Felons Vote?
522	Parents should keep any eye out for drug-laced Gummy bears and ecstasy (MDMA) disguised as Halloween candy being distributed to trick-or-treaters.	Ecstasy in Halloween Candy?
523	Pastor David Platt prayed for President Donald Trump during the latter's impromptu visit to his church.	Did Pastor David Platt Pray for President Trump During a Church Visit?
524	"Pat Robertson advised men whose wives are voting for Hillary Clinton to ""boycott sex"" until they changed their minds."	Pat Robertson Says Husbands Must Boycott Sex with Wives Voting Hillary
525	"Patrick Moore, who once described anthropogenic climate change as “fake science” on the morning opinion program ""Fox and Friends,"" co-founded the environmental action group Greenpeace."	Did Patrick Moore, a Doubter of Anthropogenic Climate Change, Co-Found Greenpeace?
526	"Paul McCartney wrote the song ""Blackbird"" during a visit to the U.S., inspired by the civil rights movement."	Was Paul McCartney’s Song “Blackbird” Inspired by the Civil Rights Movement?
527	Pennsylvanians can vote online via social media by using the hashtag #PresidentialElection.	Can You Vote Online with a Hashtag?
528	"Pepsi CEO Indra Nooyi told Donald Trump supporters to ""take their business elsewhere."""	Pepsi CEO Tells Trump Supporters to Take Their Business Elsewhere
529	Photographs and video of pipe-bombing suspect Cesar Sayoc's van taken during and after its confiscation by the FBI reveal that some of the political stickers on its windows mysteriously changed in the process.	Did the Stickers on the Pipe-Bombing Suspect’s Van Inexplicably Change After His Arrest?
530	"Photographs depict signs marking the sites of ""future internment camps"" authorized by President Trump's executive order. "	Signs Designate Lots Reserved for Future Internment Camps?
531	"Photographs show a ""mummified"" dinosaur fossil discovered in Alberta, Canada."	Is This a Photograph of a ‘Mummified’ Dinosaur?
532	"Photographs show a large crowd of people at the ""Area 51 Raid."""	Are Photos of the ‘Area 51 Raid’ Real?
533	Photographs show a large, 450-pound dog.	Is This 450-Pound Dog Real?
534	Photographs show a protester being paid to disrupt the Senate confirmation hearings of Supreme Court nominee Brett Kavanaugh.	Do These Photographs Show a Protester Paid to Disrupt the Kavanaugh Confirmation Hearings?
535	Photographs show a real animal called the Malabar giant squirrel.	Is the Malabar Giant Squirrel a Real Animal?
536	Photographs show the place where two oceans meet in the Gulf of Alaska.	Are Two Oceans Meeting in This Photograph?
537	Photographs show walls around the homes of President Obama, Hillary Clinton, Nancy Pelosi, Dianne Feinstein and Maxine Waters.	Did These Politicians Build Walls Around Their Homes?
538	Photographs showed knives disguised as baguettes seized from fuel tax protesters by Paris police.	Did Police in Paris Confiscate ‘Baguette Knives’ from Fuel Tax Protesters?
539	"Phyllis Schlafly once said, ""There will be a woman president over my dead body.""  "	Phyllis Schlafly Said, ‘There Will Be a Woman President Over My Dead Body’?
540	Planned Parenthood and the Satanic Temple have worked together to oppose laws restricting abortion rights in Missouri.	Did Planned Parenthood ‘Team Up’ with Satanists to Promote Abortion Rights in Missouri?
541	Police have discovered heroin disguised as SweeTarts brand candy.	Did Police Find Heroin Disguised as SweeTarts?
542	"Police in Charlottesville were issued a ""stand down"" order and told to let violence happen."	Were Police Told to ‘Stand Down’ Amid Violence in Charlottesville?
543	"Police in Sweden admitted they are ""no longer"" investigating rape since migrant arrivals."	Are Police in Sweden No Longer Investigating Rapes Since Migrants Arrived?
544	Police sketches of Madeleine McCann's alleged kidnappers are a perfect match for Tony and John Podesta.	Do Tony and John Podesta Match Madeleine McCann Police Sketches?
545	Pope Francis allowed a little girl with Down Syndrome to sit with him as he gave a homily.	Did Pope Francis Allow a Little Girl to Sit with Him During a Homily?
546	Portions of the Amazon rainforest were on fire in August 2019.	Was the Amazon Rainforest on Fire in August 2019?
547	Portugal doesn't have net neutrality regulations, and is an example of what happens without such laws; for example, a Portuguese telecommunications company, MEO, is parceling out access to specific broadband apps and content on a fee-for-service basis.	Is Portugal an Example of What Happens Without Net Neutrality?
548	"Pranksters briefly changed California's iconic ""Hollywood"" sign to read ""Hollyweed."""	Was California’s Iconic ‘Hollywood’ Sign Altered to Read ‘Hollyweed’?
549	President Bill Clinton firing of FBI Director William Sessions was linked to Deputy White House Counsel Vince Foster's death a day later.	Did Bill Clinton Fire His FBI Director One Day Before Vince Foster Died?
550	President Donald Trump hosted the National Rifle Association at the White House on the anniversary of the Sandy Hook massacre.	Did President Donald Trump Host the NRA on the Anniversary of the Sandy Hook Massacre?
551	"President Donald Trump insulted community colleges in a tweet, calling them ""13th grade"" and for ""dummys"" [sic]."	Did Donald Trump Say Community College Is ’13th Grade’ for ‘Dummys’?
552	President Donald Trump offered to donate $1 million to a charity of Sen. Elizabeth Warren's choice if she would take a DNA test to demonstrate that she had Native American ancestry.	Did Trump Offer $1 Million If Elizabeth Warren Could Show Native American Heritage?
553	President Donald Trump was photographed during the G7 summit sitting down opposite Germany prime minister Angela Merkel with his arms crossed.	Is This a Real Photograph of G7 Leaders?
554	"President Donald Trump's proposed 2020 re-election campaign slogan (""Keep America Great"") was used in a 'Purge' film."	Was Donald Trump’s Proposed Re-Election Slogan Used for a ‘Purge’ Film?
555	"President John F. Kennedy said: ""There's a plot in this country to enslave every man, woman and child. Before I leave this high and noble office, I intend to expose this plot."""	Did JFK Say ‘There’s a Plot in This Country to Enslave Every Man, Woman, and Child’?
556	President Obama congratulated Vladimir Putin for Russia's election results in 2012, a diplomatic move for which President Trump was criticized in 2018.	Did President Barack Obama Congratulate Putin on His 2012 Win?
557	President Obama passed a law enabling food stamp recipients to use their benefits to purchase hot food.	President Obama Allows Hot Food to be Purchased with Food Stamps
558	President Obama submitted plans for an opulent, taxpayer-funded burial site.	Obama’s Burial Plot is a Massive Waste of Taxpayer Money?
559	President Reagan warned the public against demagogues who advocated a trade war against America's friendly trading partners in the name of protectionism.	Did Ronald Reagan Warn Against ‘Demagogues’ Willing to Declare a Trade War Against America’s Friends?
560	President Ronald Reagan tried for eight years to build a border wall but was unable to do so.	Did Ronald Reagan Try for Eight Years to Build a Border Wall?
561	"President Trump announced intent to ban ""full face"" veils in public places, an act presumably targeting Muslim women."	Did President Donald Trump Ban ‘Full Face’ Veils?
562	"President Trump announced intent to ban ""full face"" veils in public places, an act presumably targeting Muslim women. "	Did President Donald Trump Ban ‘Full Face’ Veils?
563	President Trump cited the city of San Antonio, Texas, as an example of a city made much safer by the construction of a wall.	Did President Trump Tout San Antonio as a City Made Safe by a Border Wall?
564	President Trump did not attend Veterans Day services at Arlington National Cemetery marking the 100th anniversary of the end of World War I, but representatives of the French government did.	Did the French, But Not Trump, Attend WW1 Services at Arlington National Cemetery?
565	President Trump has called for the death penalty for pedophiles.	Did President Trump Say Pedophiles Will Get the Death Penalty?
566	President Trump ignored instructions from Japan's Prime Minister Shinzo Abe and impatiently dumped fish food into a koi pond.	Did President Trump Impatiently Dump Fish Food in a Japanese Koi Pond?
567	President Trump needs Senate confirmation in order for Steve Bannon to sit on the National Security Council.	Does Steve Bannon Need a Senate Confirmation Hearing to Sit on the NSC?
568	President Trump offered that those who donated to his reelection could have their name displayed during a Trump campaign-run livestream of the State of the Union address	Will President Trump Display the Names of Campaign Donors During the State of the Union?
569	President Trump raised his middle finger to make an obscene gesture at Italian Prime Minister Paolo Gentiloni during a meeting at the 2017 G7 summit in Italy.	Did President Trump Give the Finger to the Italian Prime Minister?
570	President Trump retweeted a cartoon of a train hitting a CNN reporter.	Did Trump Retweet a Cartoon of a Train Hitting a CNN Reporter?
571	President Trump said police and firefighters make too much money in order to justify eliminating some of their tax deductions.	Did Donald Trump Say ‘Police Officers and Firefighters Make Too Much Money’?
572	"President Trump shared an image of a ""Bikers for Trump"" member with Nazi tattoos, one of those who visited him at his golf club in Bedminister."	Did President Trump Share a Photo of a ‘Bikers for Trump’ Member with a Nazi Tattoo?
573	President Trump signed an Executive Order banning childhood vaccinations for 90 days.	Did President Trump Enact a 90-Day Ban on Childhood Vaccinations?
574	President-Elect Donald Trump appointed Kanye West to a cabinet position.	Donald Trump Appoints Kanye West to Cabinet Position?
575	President-elect Donald Trump has said he plans to cut Social Security benefits.	Did Donald Trump Say He Will Cut Social Security?
576	President-elect Donald Trump's inauguration will be the first presidential inauguration that Rep. John Lewis has skipped.	Did Rep. John Lewis Skip Any Previous Inaugurations?
577	"Princess Leia's ""hair buns"" in Star Wars were inspired by those of a Mexican revolutionary."	The Origins of Princess Leia’s Hairstyle
578	Prior to condemning flag burning in November 2016, Donald Trump endorsed the act in February 2011.	Donald Trump Condoned Flag Burning?
579	Prophylactic maker Durex is producing an eggplant-flavored condom.	Durex to Produce Eggplant-Flavored Condoms
580	Protests could permanently halt the Dakota Access Pipeline by blocking construction until 1 January 2017, when the project's contracts expire.	Will a Deadline of 1 January 2017 Kill the Dakota Access Pipeline?
581	"Radio host Rush Limbaugh once claimed that actor Michael J. Fox was ""exaggerating"" his Parkinson's disease symptoms in a political ad."	Did Rush Limbaugh Accuse Michael J. Fox of Exaggerating His Parkinson’s Symptoms?
582	Radio personality Michael Savage was fired because he talked about Hillary Clinton's health on the air.	Michael Savage Removed from the Airwaves for Discussing Clinton’s Health
583	Rand Paul tweeted that the Second Amendment wasn't designed to protect our right to shoot deer, but the government when it becomes tyrannical.	Rand Paul Tweeted That Purpose of Second Amendment Is to Shoot at Tyrannical Government?
584	Rapper PnB Rock was shot and killed in December 2019 while buying Prada shoes for his daughter.	PnB Rock Death Hoax
585	"Rep. Darrell Issa ""hid"" on the roof of his California office to avoid protesters."	Did Rep. Darrell Issa ‘Hide’ on a Rooftop to Avoid Protesters?
586	Rep. Drew Ferguson posted a picture of Nazi soldiers on Twitter on the anniversary of the Allied invasion of Normandy.	Did a Georgia Lawmaker Tweet a Photograph of Nazis on D-Day?
587	"Rep. Frederica Wilson advocated prosecuting persons who ""make fun of Congress"" online."	Did Rep. Frederica Wilson Advocate Prosecuting People Who ‘Make Fun’ of Congress?
588	"Representative Maxine Waters said Muslims were being ""pushed"" into terrorism by ""inaction"" on climate change and healthcare."	Did Maxine Waters Blame the London Attack on Climate and Healthcare ‘Inaction’?
589	"Retired U.S. Army General Barry McCaffrey opined that President Trump poses a ""serious threat to U.S. national security."""	Did a Retired Army General Call President Trump a ‘Serious Threat to U.S. National Security’?
590	"Rev. Franklin Graham said ""attempted rape is not a crime"" and that Brett Kavanaugh ""respected"" his victim by ""not finishing."""	Did Franklin Graham Say ‘Attempted Rape Is Not a Crime’?
591	Rihanna's Instagram message to followers to throw away the Snapchat app caused the company's share value to fall by hundreds of millions of dollars in one day.	Did an Instagram Post by Rihanna Cause Snapchat’s Stock Market Value to Fall?
592	Rob Rogers was fired by his newspaper after creating a cartoon which featured President Donald Trump snatching a child immigrant.	Was a Cartoonist Fired for an Anti-Trump Drawing?
593	"Robert De Niro linked to a ""prostitution ring that used children."""	Was Robert De Niro Involved in a Child Sex Trafficking Ring?
594	"Roger Stone was an ""aide"" or an ""adviser"" to 37th U.S. President Richard Nixon."	Was Roger Stone an Adviser to President Richard Nixon?
595	"Rosie O'Donnell bribed two senators to vote ""no"" on the GOP tax bill via Twitter."	Did Rosie O’Donnell Offer Bribes to Senators on Twitter?
596	Russia built a monument to memorialize the genocide of indigenous peoples on the American continent outside the United States Embassy in Russia.	Did Russia Erect a Monument to Native Americans in Front of the United States Embassy in Moscow?
597	Russia has blackmail material on Utah Republican Rep. Jason Chaffetz, which is why he will not seek re-election.	Does Russia Have ‘Kompromat’ on Jason Chaffetz?
598	School walkouts and protests are planned in response to the Parkland school shooting on 14 February 2018, which killed seventeen people.	Is a School Walkout Planned in Response to the Parkland Mass Shooting?
599	"Secret Service and military personnel have used the designation ""Broomstick One"" for aircraft carrying Hillary Clinton."	Secret Service Agents Called Hillary Clinton’s Airplane ‘Broomstick One’?
600	"Sen. Chuck Schumer is on record saying, ""Candidates with deeply held Christian beliefs are unfit and disqualified from serving as a federal judge."""	Did Chuck Schumer Say Judicial Nominees with ‘Deeply Held Christian Beliefs’ Are Unfit to Serve?
601	"Sen. Chuck Schumer's name and/or phone number were found in ""Hollywood Madam"" Heidi Fleiss's black book of clients."	Was Sen. Chuck Schumer a Client of ‘Hollywood Madam’ Heidi Fleiss?
602	"Sen. Joe Biden told an audience which included hundreds of African Americans that Republican economic policies would ""put y'all back in chains."""	Did Joe Biden Tell a Racially Mixed Audience that Republicans Would ‘Put Y’All Back in Chains’?
603	"Sen. Ted Cruz said Southern states should build a nuclear arsenal to ""protect their beliefs."""	Did Ted Cruz Say Southern States Should Build Nuclear Weapons to Protect Their Beliefs?
604	Sen. Ted Cruz's campaign has sent fundraising letters with an envelope made up to resemble a legal summons.	Did Ted Cruz’s Campaign Send Fundraising Mailers That Resemble Legal Summonses?
605	"Sen. Tim Kaine responded to news of a machete attack at Ohio State University by tweeting that he was deeply saddened by the senseless act of ""gun violence."""	Tim Kaine Blamed ‘Gun Violence’ for Ohio State Knife Attack?
606	"Sen. Tom Cotton's office has sent ""cease-and-desist"" letters to constituents ordering them not to contact him."	Did Sen. Tom Cotton Issue a ‘Cease and Desist’ Letter to a Constituent?
607	Senator John McCain's final words consisted of a foul-mouthed attack on President Donald Trump.	Did John McCain Launch a Foul-Mouthed Attack on President Trump with His Last Words?
608	Senator Kamala Harris is not eligible to serve as U.S. President because neither of her parents was “a legal resident for 5 years prior to [her] birth” and she was “not raised in the United States.”	Is Kamala Harris Not Eligible to Serve as U.S. President?
609	"Several male students at Baraboo High School were photographed performing the Nazi ""Sieg Heil"" salute."	Was a Group of High Schoolers Photographed Performing a Nazi Salute?
610	Sexuality educator Deanne Carson said parents should ask a baby's permission before changing their diaper.	Did a Sexuality Educator Say Parents Should Ask Babies’ Permission for Diaper Changes?
611	Singer Billy Ocean passed away in October 2016.	Billy Ocean Death Hoax
612	Six of Arizona Rep. Paul Gosar's siblings appeared in a political commercial endorsing his opponent, David Brill.	Did Paul Gosar’s Siblings Appear in a Political Ad Endorsing His Opponent?
613	"Snapchat is using its ""Lenses"" photo and video filtering technology to create a facial recognition database for use by law enforcement agencies."	Is Snapchat Building a Facial Recognition Database for the Feds?
614	Software developed by Ashton Kutcher's charity has helped rescue around 6,000 children from sex trafficking.	Did Ashton Kutcher’s Software Help Rescue 6,000 Children from Sex Trafficking?
615	"Soviet leader Nikita Khrushchev said: ""We cannot expect the Americans to jump from capitalism to communism, but we can assist their elected leaders in giving Americans small doses of socialism, until they suddenly awake to find they have communism."""	Did Nikita Khrushchev Say ‘We’ll Keep Feeding You Small Doses of Socialism’?
616	Stacks of file folders presented as evidence that President-elect Donald Trump was turning his business holdings over to his children were empty and/or contained blank sheets of paper.	Trump Used Blank Sheets of Paper as Conflict-of-Interest Documents?
617	Starbucks is giving a discount to undocumented immigrants on 11 August 2017.	Starbucks Dreamer Day
618	Stephanie Grisham got DUIs in 2013 and 2015.	Did White House Press Secretary Stephanie Grisham Get Two DUIs, in 2013 and 2015?
619	Stephanie Wilkinson, owner of the Red Hen restaurant, followed the family of Sarah Huckabee Sanders and organized a picket against them at another restaurant.	Did a Business Owner Picket Sarah Huckabee Sanders’ Family After They Left Her Restaurant?
620	Stephen Colbert and Rachel Maddow are organizing a 'Fire The Fool' rally against President Trump.	Did Stephen Colbert and Rachel Maddow Launch a ‘Fire the Fool’ Anti-Trump Rally?
621	Supreme Court nominee Brett Kavanaugh's children were escorted from Senate chambers as a result of being harassed by hecklers during his confirmation hearing.	Were Brett Kavanaugh’s Children Escorted from a Senate Hearing Room Because They Were Harassed by Hecklers?
622	"TV host Brian Kilmeade said, “If you use the term 'This is an invasion,' that's not anti-Hispanic. It's a fact."""	Did Fox Host Brian Kilmeade Say the Term ‘Invasion’ Is ‘Not Anti-Hispanic. It’s a Fact’?
623	Target.com or Target blocked Israel from accessing and shopping their web site.	Target Blocks Israel from E-Commerce Access?
624	Taxypayers paid $4 million for President Obama to play golf with Tiger Woods.	Obama Golf Outing with Tiger Woods Cost Nearly $4 Million?
625	Ted Cruz's net worth increased from $500,000 when he entered the Senate in 2013 to $4.6 million, on a salary of $174,000 per year.	Did Ted Cruz’s Net Worth Increase from $500K to $4.6 Million Since He Entered the U.S. Senate?
626	Tee markers emblazoned with the U.S. presidential seal were manufactured for and installed at a golf course owned by the Trump Organization.	Did a Trump Golf Course Use the Presidential Seal on Tee Markers?
627	"Teenagers are participating in a dangerous new internet craze known as the ""No Lackin Challenge,"" and two teenagers was shot in the head during an instance of the fad gone awry."	No Lackin Challenge
628	"Telling Siri to ""charge my phone to 100 percent"" will cause the virtual assistant to surreptitiously dial 911 or summon emergency services."	Telling Siri to ‘Charge My Phone to 100%’ Summons Police
629	Texas Governor Greg Abbott posted a tweet falsely claiming a convicted child rapist was an illegal immigrant.	Did the Texas Governor Tweet a Fake BBC Page with False Information About a Convicted Rapist?
630	Texas discovered that 58,000 ineligible non-citizens illegally registered and voted in one or more elections in the state.	Did Texas Discover 58,000 Cases of Voter Fraud by Non-Citizens?
631	"The ""Tide pod challenge"" is a real viral phenomenon whereby people bite into Tide brand laundry detergent pods."	Is the ‘Tide Pod Challenge’ a Real Thing?
632	"The ""Unmasking Antifa Act"" has made it illegal to join ""Antifa"" groups."	Did HR 6054 Make It Illegal to Join ‘Antifa’?
633	"The ""Wall Street Journal"" (or another large news outlet) has published documents leaked from Walter Reed Medical Center which show President Donald Trump's ""true"" weight and prove a conspiracy to mislead the public."	Have Leaked Documents Been Published Showing Donald Trump’s ‘True’ Weight?
634	The #WalkAway Campaign used ads featuring stock photograph models and claimed they were Democrats leaving the party.	Did the #WalkAway Campaign Use Stock Photographs for People It Claimed Left the Democratic Party?
635	The 22nd day of the 2nd month of the year 2022 will fall on a Tuesday.	Twosday? Will 2/22/2022 Really Fall on a Tuesday?
636	The American Health Care Act was scored twice by the CBO and it went through four committees before the House voted on it.	Has the Congressional Budget Office Scored the American Health Care Act?
637	"The August 2019 Odessa shooter was ""a Democrat Socialist who had a Beto sticker on his truck."""	Was the Odessa Shooter a Beto O’Rourke Supporter?
638	"The Band of the Grenadier Guards played the ""Imperial March"" from ""Star Wars"" during U.S. President Donald Trump's visit to Buckingham Palace."	Was the ‘Star Wars’ Imperial March Played for President Trump During UK Visit?
639	"The CBC cut a scene featuring Donald Trump from its December 2019 broadcast of the movie ""Home Alone 2"" for political reasons."	Was Donald Trump Cut from ‘Home Alone 2’ for Political Reasons?
640	The Dakota Access Pipeline (DAPL) was re-routed through the Standing Rock Reservation after Bismarck's mostly-white residents refused to allow it near their water supply.	DAPL Routed Through Standing Rock After Bismarck Residents Said No?
641	The Democratic National Committee is meeting to consider replacing presidential nominee Hillary Clinton.	Democratic Party Holding Emergency Meeting to Discuss Replacing Hillary Clinton?
642	The Department of Health and Human Services has scheduled web site maintenance for Healthcare.gov on most Sundays during Obamacare open enrollment.	Is Healthcare.gov Scheduled for Maintenance During Obamacare Enrollment?
643	"The English word ""trumpery,"" which derives from a French word meaning ""to deceive,"" is defined in the dictionary as ""showy but worthless."""	The Definition of ‘Trumpery’
644	The FBI discovered bones of young children in the waters around the late billionaire Jeffrey Epstein's private island.	Were Bones of Children Found on Jeffrey Epstein’s Island?
645	The Fyre Festival was oversold and rapidly descended into chaos, leaving attendees stranded due to its last-minute cancellation.	Luxury ‘Fyre’ Music Festival in the Bahamas Descends Into Chaos?
646	The Golden State Warriors basketball team announced on 13 June 2017 that they had unanimously voted to skip a visit to the White House after winning the NBA Championship.	The Golden State Warriors Voted Not to Visit the White House?
647	The Illegal Immigration Reform and Immigrant Responsibility Act of 1996 says that non-citizens who vote must be deported.	Does a 1996 U.S. Law Say Non-Citizens Who Vote Must Be Deported?
648	The International Astronomical Union (IAU) issued a press release stating that Pluto has been reclassified as a planet.	Has Pluto Been Officially Reclassified as a Planet?
649	The Keystone Pipeline in North Dakota was shut down after it leaked oil.	Was the Keystone Pipeline Shut Down After Leaking Oil?
650	"The Ku Klux Klan held a march and rally at the 1924 Democratic National Convention, which was thereafter popularly known as the ""Klanbake."""	Did the Ku Klux Klan March at the 1924 Democratic National Convention?
651	The Make-a-Wish Foundation apologized for sending Drake & Josh star Drake Bell to visit a terminally ill boy, after the boy had requested a visit from the rapper Drake.	Did Make-a-Wish Apologize for Sending the Wrong Drake to Visit a Terminally Ill Boy?
652	The NFL fined players for violating league uniform rules by wearing 9/11 memorial cleats during football games played on 11 September 2016.	NFL Fining Players for Wearing 9/11 Memorial Cleats?
653	"The NRA sent Wisconsin Supreme Court candidates a letter urging them to submit a ""position statement"" on gun rights, or risk opposition from NRA members in the state."	Did the NRA Ask Judicial Candidates for ‘Position Letters’ on Guns?
654	"The National Rifle Association banned attendees from carrying firearms into their ""2018 Leadership Forum"" in Dallas, Texas."	Did the NRA Ban Guns at Their Own Leadership Forum?
655	The National Rifle Association supported the passage of a 1967 bill in the California legislature banning the open carry of loaded firearms in public.	Did the NRA Support a 1967 ‘Open Carry’ Ban in California?
656	"The New York Supreme Court ordered President Donald Trump to pay $2 million as punishment for ""stealing"" charitable donations intended for veterans groups."	Was Donald Trump Fined for ‘Stealing’ Money Intended for Veterans?
657	The Obama administration blocked or banned Fox News reporters from White House press conferences.	Did Obama Block Fox News Reporters from White House Press Conferences?
658	The Obama administration failed to secure the release of three men being detained by North Korea in 2018.	Was the Obama Administration Unable to Arrange the Release of Three Hostages in North Korea?
659	The Obama administration gave 2,500 Iranians citizenship as part of nuclear deal negotiations.	Did the Obama Administration Grant Citizenship to 2,500 Iranians During Nuclear Deal Negotiations?
660	The Price is Right' host Bob Barker died in July 2017, after falling and hitting his head at his home.	Is Former ‘Price is Right’ Host Bob Barker Dead at Age 94?
661	The Red Cross blocked the distribution of 400 hamburgers to Harvey evacuees in Texas.	Did the Red Cross Prevent 400 Hamburgers from Getting to Harvey Victims?
662	The Republican majority in the House Appropriations Committee voted to approve an amendment allowing taxpayer-funded adoption agencies to deny services to LGBTQ families.	Did Republicans Vote to Make It Legal to Ban Gays and Lesbians from Adopting?
663	The State of Texas announced it would no longer be issuing birth certificates to the children of undocumented immigrants.	Texas No Longer Issuing Birth Certificates to Babies Born to Undocumented Immigrants?
664	The Trump Administration is seeking to monitor social media posts of disability recipients.	Is the Trump Administration Seeking to Monitor Social Media Accounts of Disability Recipients?
665	The Trump administration appointed Walter Palmer, famed for killing Cecil the Lion in 2015, to a newly-formed wildlife conservation council.	Did President Donald Trump Appoint the Man Who Killed Cecil the Lion to a Wildlife Conservation Council?
666	The Trump administration housed some undocumented immigrants at a makeshift facility under a bridge in El Paso, Texas, in March 2019.	Did the Trump Administration House Undocumented Immigrants Under a Bridge in El Paso?
667	"The Trump campaign digitally altered a photograph of reality TV star Rykard Jenkins to make it appear as if he were wearing a ""2020 Trump"" hat."	Did Trump Campaign Photoshop ‘Trump 2020’ Hat onto Pix of Reality TV Star?
668	The Trump resort where U.S. President Donald Trump suggested the next G7 summit be held was sued over bed bugs, and the lawsuit was settled out of court.	Trump Wants Next G7 Summit at His Hotel That Settled Bed Bugs Lawsuit?
669	"The U.S.  defense readiness alert level was quietly raised to ""DEFCON 3"" in mid-June 2016."	DEFCON Warning Level Escalated to 3
670	The U.S. Army is sending text messages informing people they've been selected for the military draft.	Is US Army Sending Texts About a Military Draft?
671	"The U.S. Congress passed the 22nd Amendment in order to ""make sure President Franklin D. Roosevelt did not get re-elected."""	Did Congress Pass the 22nd Amendment in Order to ‘Make Sure FDR Did Not Get Re-Elected’?
672	The U.S. Constitution states that if a president is impeached by the House but not convicted by the Senate, that person's first term is nullified and they are eligible to run for office two more times.	Does a Failed Impeachment Nullify Presidential Term, Allow Extra Reelection?
673	The U.S. has more governors who have worn blackface than actual black governors.	Does America Have More Governors Who Have Worn Blackface Than Black Governors?
674	The U.S. listed the fictional country of Wakanda as a trading partner.	Did the US List Fictional Wakanda as a Trading Partner?
675	"The U.S. was ranked the ""118th safest country"" in the world in 2019, a decline of 53 places since 2018."	Was the US Ranked the ‘118th Safest Country’ in the World in 2019?
676	The U.S.'s leading group of pediatricians issued a strong statement condemning tolerance of gender dysphoria in children.	American Pediatricians Issue Statement That Transgenderism Is ‘Child Abuse’?
677	The Union County Sheriff's Department in Arkansas dressed numerous arrestees in Nike shirts for their mugshots as a jab at the company.	Did a Sheriff’s Dept. Dress Arrestees in Nike Shirts for Their Mugshots?
678	The United Nations (UN) ruled that the United States must pay slavery reparations to black Americans.	UN Demands U.S. Pay Reparations for Slavery
679	The United States Department of Homeland Security is planning to compile a database of journalists and bloggers.	Is Homeland Security Working to Compile a Database of Journalists and Bloggers?
680	The United States will reverse restrictions on bringing back legally-hunted elephant trophies.	United States to Reverse Ban on Wildlife Trophies?
681	"The Washington Post called Islamic State leader Abu Bakr al-Baghdadi an ""austere religious scholar"" in an initial headline for his obituary."	Did WaPo Headline Call IS Leader al-Baghdadi an ‘Austere Religious Scholar’?
682	The White House posted and then deleted an unflattering photograph of President Trump that displayed marked facial coloration.	Did the White House Delete an Unflattering ‘Orange Face’ Photo of Trump?
683	The White House updated the voice message on the automated telephone comments line to blame Democrats for a government shutdown.	Did the White House Change Outgoing Message on Comment Line to Blame Democrats?
684	"The Women's March on Washington is tallying attendees by asking them to text ""COUNT ME"" to 89800."	Should You Text ‘Count Me’ to 89800 to Support the Women’s March?
685	The Zello walkie-talkie cellphone app can be used without the internet.	Does the Zello Phone App Work Without the Internet?
686	The accused school shooter in Florida is a Dreamer, a DACA recipient, or undocumented.	Is the Florida High School Shooter a ‘Dreamer’?
687	"The animated film ""Incredibles 2"" contains scenes that prompted an epilepsy warning at movie theaters."	Does ‘Incredibles 2’ Come With an Epilepsy Warning?
688	The daughter of U.S. Senator Chuck Schumer recently spoken out about her father's supposed affair with one of her high school classmates.	Did Senator Chuck Schumer Have an Affair with a Teenager?
689	The experienced many times more school shootings between 2009 and 2018 than 27 other countries combined.	Does the U.S. Experience Far More School Shootings Than Any Other Country?
690	"The former Alabama state Attorney general, Bill Baxley, once told a Ku Klux Klan Grand Dragon ""kiss my ass"" in response to threats."	Did the Attorney General of Alabama Once Tell the Ku Klux Klan to ‘Kiss My Ass’?
691	"The gunman in a November 2017 mass shooting in Sutherland Springs, Texas was identified as a Muslim convert named ""Samir Al-Hajeed."""	Was the Texas Church Shooter a Muslim Convert Named ‘Samir Al-Hajeed’?
692	"The intelligence community ""secretly eliminated"" a requirement that whistleblowers provide firsthand knowledge of alleged wrongdoings, allowing the complaint about Trump's dealings with Ukraine to be filed."	Did US Intelligence Eliminate a Requirement That Whistleblowers Provide Firsthand Knowledge?
693	The killing of four U.S. soldiers in an October 2017 ambush by Islamic militants in Niger was far worse a debacle than the 2012 attack on U.S. diplomatic facilities in Benghazi.	Was an Attack on United States Soldiers in Niger a Debacle ‘Worse than Benghazi’?
